ID,Age,Gender,Race,City,State,Latitude,Longitude,Cause_of_Death,Mental_Illness,Year
18783,59,Male,Race unspecified,Winslow,NJ,39.7364359,-74.9303198,Gunshot,No,2015
18784,18,Male,European-American/White,Rayne,LA,30.2302718,-92.3124987,Undetermined,Unknown,2015
18785,26,Male,Hispanic/Latino,Pueblo,CO,38.2868825,-104.5722382,Gunshot,No,2015
18786,21,Male,European-American/White,Afton,TN,36.147443,-82.7072188,Vehicle,No,2015
18787,35,Female,Race unspecified,Salem,OR,45.0155902,-122.8765522,Vehicle,No,2015
18788,68,Male,European-American/White,New Hope,MN,45.0357324,-93.3857138,Gunshot,No,2015
18789,29,Male,European-American/White,Morenci,AZ,33.0562823,-109.3285615,Gunshot,No,2015
18790,24,Male,Hispanic/Latino,Tahoka,TX,33.1664401,-101.7937704,Gunshot,No,2015
18791,34,Male,Hispanic/Latino,Wasco,CA,35.5890428,-119.3351329,Gunshot,Yes,2015
18792,17,Transgender,Hispanic/Latino,Denver,CO,39.7534059,-104.9093803,Gunshot,Unknown,2015
18793,33,Male,African-American/Black,Columbus,OH,39.8795447,-82.9985998,Gunshot,No,2015
18794,61,Male,European-American/White,Madison,AL,34.702626,-86.779947,Gunshot,Unknown,2015
18795,39,Female,European-American/White,Omaha,NE,41.2427474,-95.9904437,Gunshot,Unknown,2015
18796,26,Male,Native American/Alaskan,Phoenix,AZ,33.4963923,-112.1142435,Gunshot,No,2015
18797,35,Male,Asian/Pacific Islander,Stockton,CA,38.029084,-121.316245,Gunshot,Drug or alcohol use,2015
18798,26,Male,European-American/White,Rosenberg,TX,29.5575344,-95.7848822,Gunshot,No,2015
18799,45,Male,European-American/White,Sunset,TX,33.4562976,-97.8100295,Gunshot,No,2015
18800,42,Male,European-American/White,Pleasant Hills,PA,40.3383674,-79.9673828,Gunshot,Unknown,2015
18801,33,Male,Native American/Alaskan,Anchorage,AK,61.2184085,-149.858016,Undetermined,No,2015
18802,21,Female,European-American/White,Conroe,TX,30.2798273,-95.4585079,Vehicle,Drug or alcohol use,2015
18803,18,Male,Race unspecified,Washington,DC,38.9410437,-77.0019644,Vehicle,No,2015
18804,31,Male,European-American/White,Wyoming,MI,42.8944307,-85.6609774,Gunshot,No,2015
18805,42,Male,European-American/White,Stillwater,OK,36.1233308,-97.0514719,Gunshot,No,2015
18806,40,Male,European-American/White,Fort Worth,TX,32.678602,-97.380734,Gunshot,Yes,2015
18807,25,Male,European-American/White,Austin,TX,30.1887231,-97.7686868,Drug overdose,Yes,2015
18808,48,Male,European-American/White,Billings,MT,45.7896391,-108.513216,Gunshot,No,2015
18809,56,Male,African-American/Black,Randallstown,MD,39.3816374,-76.8225979,Gunshot,No,2015
18810,14,Male,European-American/White,Oak Hill,WV,38.0090039,-81.1451377,Vehicle,No,2015
18811,31,Male,Hispanic/Latino,Katy,TX,29.8607521,-95.7193988,Gunshot,No,2015
18813,27,Male,European-American/White,Paducah,KY,37.0520264,-88.6491769,Vehicle,No,2015
18814,17,Male,European-American/White,Bay City,MI,43.5999245,-83.8730138,Gunshot,No,2015
18815,42,Male,European-American/White,Apple Valley,CA,34.4172026,-117.1768769,Gunshot,Unknown,2015
18816,59,Male,European-American/White,Hummelstown,PA,40.273445,-76.712734,Gunshot,Drug or alcohol use,2015
18817,29,Male,African-American/Black,Antioch,CA,37.9993842,-121.8182557,Gunshot,Unknown,2015
18818,38,Female,African-American/Black,Oakland,CA,37.827484,-122.2846188,Gunshot,No,2015
18819,23,Male,African-American/Black,St. Louis,MO,38.5817118,-90.2368889,Gunshot,No,2015
18820,45,Male,European-American/White,Douglas,GA,31.523361,-82.845175,Gunshot,Unknown,2015
18821,34,Male,European-American/White,Winesburg,OH,40.6135144,-81.6991447,Gunshot,Unknown,2015
18822,46,Male,European-American/White,Denham Springs,LA,30.5086711,-90.9263948,Gunshot,Unknown,2015
18823,35,Male,Hispanic/Latino,Electra,TX,34.0292311,-98.918975,Tasered,Yes,2015
18824,51,Male,African-American/Black,Lorena,TX,31.3858121,-97.2124251,Gunshot,No,2015
18825,36,Male,African-American/Black,Memphis,TN,35.1647745,-89.9336694,Gunshot,No,2015
18826,60,Male,African-American/Black,Chicago,IL,41.7520698,-87.5567102,Vehicle,No,2015
18827,28,Male,African-American/Black,Tallahassee,FL,30.4658909,-84.3306146,Gunshot,No,2015
18828,59,Male,European-American/White,Chino,CA,33.9532701,-117.650501,Gunshot,No,2015
18829,50,Male,Hispanic/Latino,Sacramento,CA,38.5830006,-121.4976286,Undetermined,Unknown,2015
18830,28,Male,Hispanic/Latino,Phoenix,AZ,33.3782417,-111.9784046,Gunshot,No,2015
18831,28,Male,Hispanic/Latino,Phoenix,AZ,33.3782417,-111.9784046,Gunshot,No,2015
18832,37,Male,Hispanic/Latino,Orlando,FL,28.499575,-81.305503,Gunshot,No,2015
18833,36,Male,European-American/White,Calimesa,CA,33.9932339,-117.0571344,Gunshot,No,2015
18834,26,Male,African-American/Black,Oklahoma City,OK,35.403065,-97.532566,Gunshot,No,2015
18835,25,Male,European-American/White,Beaver Dams,NY,42.29341,-77.036673,Medical emergency,No,2015
18836,33,Male,Race unspecified,Palm Desert,CA,33.7405846,-116.3039209,Vehicle,Drug or alcohol use,2015
18837,74,Male,African-American/Black,Gastonia,NC,35.265836,-81.227062,Gunshot,No,2015
18838,20,Male,European-American/White,Mobile,AL,30.663151,-88.099295,Gunshot,Unknown,2015
18839,57,Male,European-American/White,New City,NY,41.15199,-74.000905,Gunshot,Drug or alcohol use,2015
18840,27,Male,European-American/White,Austin,TX,30.247011,-97.8883818,Gunshot,Unknown,2015
18841,46,Male,European-American/White,Orlando,FL,28.4818441,-81.3293638,Gunshot,Unknown,2015
18842,33,Male,Hispanic/Latino,Anchorage,AK,61.2076377,-149.8587624,Gunshot,No,2015
18843,45,Male,African-American/Black,Dallas,TX,32.6591946,-96.7516655,Gunshot,No,2015
18844,27,Male,African-American/Black,Pompano Beach,FL,26.2109946,-80.1412365,Drowned,No,2015
18845,64,Male,European-American/White,Marina Del Rey,CA,33.9774513,-118.4318286,Vehicle,No,2015
18846,40,Male,European-American/White,Nocona,TX,33.7873468,-97.7128484,Gunshot,Unknown,2015
18847,30,Male,Race unspecified,Amite City,LA,30.728575,-90.507871,Vehicle,Unknown,2015
18848,48,Male,African-American/Black,Memphis,TN,35.0257196,-90.0541696,Gunshot,Unknown,2015
18849,61,Male,European-American/White,Smyrna Mills,ME,46.1595173,-68.1033892,Gunshot,Yes,2015
18850,45,Male,European-American/White,Glenwood Springs,CO,39.5747212,-107.4481297,Gunshot,Unknown,2015
18851,47,Female,Race unspecified,Fostoria,OH,41.1636277,-83.4134837,Gunshot,Yes,2015
18852,35,Male,Hispanic/Latino,Pasco,WA,46.2284258,-119.1019587,Gunshot,Yes,2015
18853,23,Male,African-American/Black,San Jose,CA,37.3166901,-121.876126,Gunshot,No,2015
18854,37,Male,European-American/White,Port St. Joe,FL,29.812507,-85.3021107,Gunshot,Unknown,2015
18855,46,Male,European-American/White,Dadeville,AL,32.8718426,-85.7059239,Gunshot,Yes,2015
18856,40,Male,Race unspecified,Arleta,CA,34.2456451,-118.4356835,Gunshot,No,2015
18857,33,Male,Race unspecified,Washington,DC,38.9162869,-77.0345328,Gunshot,No,2015
