FID,Station_name,CITY,STATE
4700,DURAND POLICE DEPARTMENT,DURAND,MI
4701,JOHNSON COUNTY COMMUNITY COLLEGE POLICE DEPARTMENT,OVERLAND PARK,KS
4702,FOREST HEIGHTS POLICE DEPARTMENT,FOREST HEIGHTS,MD
4703,WESTWOOD POLICE DEPARTMENT,WESTWOOD,KS
4704,ERIE POLICE DEPARTMENT,ERIE,IL
4705,ROELAND PARK POLICE DEPARTMENT,ROELAND PARK,KS
4706,MORGAN STATE UNIVERSITY POLICE AND PUBLIC SAFETY,BALTIMORE,MD
4707,LENNON POLICE DEPARTMENT,LENNON,MI
4708,FORT SCOTT POLICE DEPARTMENT,FORT SCOTT,KS
4709,CHEBOYGAN DEPARTMENT OF PUBLIC SAFETY,CHEBOYGAN,MI
4710,CAMAS COUNTY SHERIFFS OFFICE,FAIRFIELD,ID
4711,CALDWELL POLICE DEPARTMENT,CALDWELL,ID
4712,CONSTANTINE POLICE DEPARTMENT,CONSTANTINE,MI
4713,PORT HURON POLICE DEPARTMENT,PORT HURON,MI
4714,BURR OAK POLICE DEPARTMENT,BURR OAK,MI
4715,SALINE POLICE DEPARTMENT,SALINE,MI
4716,DAVIESS COUNTY SHERIFF OFFICE  ,WASHINGTON,IN
4717,WHITESTOWN POLICE DEPARTMENT,WHITESTOWN,IN
4718,DUBOIS COUNTY SHERIFFS DEPARTMENT  ,JASPER,IN
4719,LEWISTON POLICE DEPARTMENT,LEWISTON,ME
4720,SEARSPORT POLICE DEPARTMENT,SEARSPORT,ME
4721,ADAMS COUNTY SHERIFFS DEPARTMENT  ,DECATUR,IN
4722,BUXTON POLICE DEPARTMENT,BUXTON,ME
4723,FLINT POLICE DEPARTMENT,FLINT,MI
4724,HILLSDALE POLICE DEPARTMENT,HILLSDALE,MI
4725,FRANKFORT POLICE DEPARTMENT,FRANKFORT,IN
4726,CLAYTON TOWNSHIP POLICE DEPARTMENT,SWARTZ CREEK,MI
4727,PORTLAND POLICE DEPARTMENT,PORTLAND,MI
4728,VILLAGE OF NORTH UTICA POLICE DEPARTMENT,UTICA,IL
4729,CLINTON POLICE DEPARTMENT,CLINTON,KY
4730,JOHNSBURG POLICE DEPARTMENT,JOHNSBURG,IL
4731,BROOKLYN POLICE DEPARTMENT,BROOKLYN,IL
4732,ADAIRVILLE POLICE DEPARTMENT,ADAIRVILLE,KY
4733,BARTHOLOMEW COUNTY SHERIFF OFFICE  ,COLUMBUS,IN
4734,WHITLEY COUNTY SHERIFFS DEPARTMENT,WILLIAMSBURG,KY
4735,SAINT CLAIR SHORES POLICE DEPARTMENT,SAINT CLAIR SHORES,MI
4736,HARBOR BEACH POLICE DEPARTMENT,HARBOR BEACH,MI
4737,UBLY POLICE DEPARTMENT,UBLY,MI
